asset_id,title,description,keywords,library,category,subcategory,status,upload_by,upload_date,last_updated_by,last_update_date,admin_notes,bit_rate,dload_file_type,dload_resolution,dload_size
2377&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Logo white RGB,Vector logo to create onscreen graphics,"logo, vector, white, screen, Qualcomm",Qualcomm,Brand Elements,Qualcomm Logo,,,Super Admin,5/31/2013,Elysia,1/6/2016,"The Qualcomm logo available for download on this site is for use by employees only and may not be distributed to third parties without permission. In general, Qualcomm grants permission for third party use of the Qualcomm logo only in certain circumstances and with appropriate legal protections in place. Third parties that would like to request permission to use the Qualcomm logo must do so through the Logo Request Form at http://www.qualcomm.com/logos/logo-request.",,EPS,N/A,1.5mb
2378&libid=1&pageindex=43&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Logo black RGB,Vector logo to create onscreen graphics.,"logo, vector, black, screen, Qualcomm",Qualcomm,Brand Elements,Qualcomm Logo,,,Super Admin,5/31/2013,Elysia,1/6/2016,"The Qualcomm logo available for download on this site is for use by employees only and may not be distributed to third parties without permission. In general, Qualcomm grants permission for third party use of the Qualcomm logo only in certain circumstances and with appropriate legal protections in place. Third parties that would like to request permission to use the Qualcomm logo must do so through the Logo Request Form at http://www.qualcomm.com/logos/logo-request.",,EPS,N/A,1mb
2379&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Logo color CMYK,Vector logo for use in print,"logo, vector, cmyk, print, Qualcomm",Qualcomm,Brand Elements,Qualcomm Logo,,,Super Admin,5/31/2013,Elysia,1/6/2016,"The Qualcomm logo available for download on this site is for use by employees only and may not be distributed to third parties without permission. In general, Qualcomm grants permission for third party use of the Qualcomm logo only in certain circumstances and with appropriate legal protections in place. Third parties that would like to request permission to use the Qualcomm logo must do so through the Logo Request Form at http://www.qualcomm.com/logos/logo-request.",,EPS,N/A,1mb
2380&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Logo color PMS,Vector logo to create onscreen graphics,"logo, vector, rgb, screen, Qualcomm",Qualcomm,Brand Elements,Qualcomm Logo,,,Super Admin,5/31/2013,Elysia,1/6/2016,"The Qualcomm logo available for download on this site is for use by employees only and may not be distributed to third parties without permission. In general, Qualcomm grants permission for third party use of the Qualcomm logo only in certain circumstances and with appropriate legal protections in place. Third parties that would like to request permission to use the Qualcomm logo must do so through the Logo Request Form at http://www.qualcomm.com/logos/logo-request.",,EPS,N/A,1mb
2391&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman in home,Portrait of woman in kitchen with laptop,"House, Tablet, Laptop",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,87.1mb
2392&libid=1&pageindex=48&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man with tablet,Portrait of man sitting on recliner chair looking at a tablet,"Tablet, House",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,93.2mb
2394&libid=1&pageindex=45&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man in front of car,Man standing in front of car,Car,Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,129.1mb
2396&libid=1&pageindex=92&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Teenager shopping at a mall,Teenager going down escalator with shopping bag and cellphone,Smartphone,Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2398&libid=1&pageindex=45&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man on cellphone,Man talking on the phone on the porch,"House, Family",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Tami,5/12/2015,,,TIF,300 dpi,63.3mb
2399&libid=1&pageindex=92&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Teens and technology close-up,"Teenage boy and girl, sitting on couch interacting with technology close-up","Couple, Tablet, Smartphone, House",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,39.6mb
